Code,State
0,N/A
1,Johor
2,Kedah
3,Kelantan
4,Malacca
5,Negeri Sembilan
6,Pahang
7,Penang
8,Perak
9,Perlis
10,Selangor
11,Terengganu
12,Sabah
13,Sarawak
14,Federal Territory of Kuala Lumpur
15,Federal Territory of Labuan
16,Federal Territory of Putrajaya
17,N/A
18,N/A
19,N/A
20,N/A
21,Johor
22,Johor
23,Johor
24,Johor
25,Kedah
26,Kedah
27,Kedah
28,Kelantan
29,Kelantan
30,Malacca
31,Negeri Sembilan
32,Pahang
33,Pahang
34,Penang
35,Penang
36,Perak
37,Perak
38,Perak
39,Perak
40,Perlis
41,Selangor
42,Selangor
43,Selangor
44,Selangor
45,Terengganu
46,Terengganu
47,Sabah
48,Sabah
49,Sabah
50,Sarawak
51,Sarawak
52,Sarawak
53,Sarawak
54,Federal Territory of Kuala Lumpur
55,Federal Territory of Kuala Lumpur
56,Federal Territory of Kuala Lumpur
57,Federal Territory of Kuala Lumpur
58,Federal Territory of Labuan
59,Negeri Sembilan
